                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.648,                 2.7701,                 1.6624,                0.00345,                      1,                0.97163,                0.56022,                 1.1715,                 3.2405,                 1.1754,             0.00064865,             0.00064865,             0.00064865
                      2,                  1.634,                 1.8764,                 1.6064,                0.98774,                0.96512,                0.98381,                  0.511,                 1.6475,                 3.1177,                 1.5034,              0.0012967,              0.0012967,              0.0012967
                      3,                 1.6602,                 1.7659,                 1.6108,                0.87455,                0.89175,                0.93942,                0.48491,                 1.4885,                 2.4718,                 1.6475,              0.0019259,              0.0019259,              0.0019259
                      4,                 1.5131,                 1.5218,                 1.5092,                0.99831,                0.95349,                0.97521,                 0.5633,                 1.4434,                 1.6862,                 1.8365,              0.0019151,              0.0019151,              0.0019151
                      5,                 1.5993,                 1.3912,                 1.6473,                0.99882,                0.90698,                0.94801,                0.54091,                 1.4737,                 2.0257,                 1.8249,              0.0019151,              0.0019151,              0.0019151
                      6,                 1.6184,                 1.3268,                 1.5964,                0.97329,                0.96512,                0.96789,                0.49728,                   1.67,                 1.5935,                 1.9133,              0.0018869,              0.0018869,              0.0018869
                      7,                 1.5598,                 1.2092,                 1.5474,                0.99719,                0.96512,                0.96593,                0.54863,                 1.4222,                 1.4167,                 1.6249,              0.0018586,              0.0018586,              0.0018586
                      8,                 1.5046,                 1.1339,                 1.5612,                0.99859,                0.97674,                0.97617,                0.55257,                 1.5535,                 1.8769,                  1.853,              0.0018303,              0.0018303,              0.0018303
                      9,                 1.5793,                 1.0593,                 1.6021,                0.99942,                0.96512,                0.96535,                0.56465,                  1.428,                 1.2265,                 1.7321,               0.001802,               0.001802,               0.001802
                     10,                 1.5351,                 1.0238,                 1.5493,                0.98808,                0.96368,                0.96494,                0.58298,                 1.4323,                 1.0869,                 1.6494,              0.0017737,              0.0017737,              0.0017737
                     11,                 1.4916,                0.92845,                 1.5147,                0.99723,                0.96512,                0.97251,                0.57518,                 1.4107,                0.99883,                 1.6892,              0.0017454,              0.0017454,              0.0017454
                     12,                 1.5534,                0.94857,                 1.5566,                0.99859,                0.96512,                0.96523,                0.59749,                 1.3479,                0.90942,                 1.5933,              0.0017171,              0.0017171,              0.0017171
                     13,                 1.5278,                0.90344,                  1.531,                 0.9997,                0.96512,                0.96836,                0.56414,                 1.4174,                0.88544,                 1.5961,              0.0016889,              0.0016889,              0.0016889
                     14,                 1.4897,                0.86272,                  1.558,                0.99911,                0.96512,                0.97322,                 0.5805,                 1.3823,                0.81863,                 1.6186,              0.0016606,              0.0016606,              0.0016606
                     15,                 1.4281,                0.84321,                 1.4785,                0.96767,                0.96512,                0.97412,                0.56318,                 1.3924,                0.91363,                 1.6352,              0.0016323,              0.0016323,              0.0016323
                     16,                  1.542,                0.82702,                 1.5483,                0.99848,                0.96512,                0.96767,                0.57251,                 1.3553,                0.86322,                 1.7224,               0.001604,               0.001604,               0.001604
                     17,                 1.4808,                0.78628,                 1.4856,                      1,                0.96311,                0.96528,                0.54588,                 1.4201,                0.87141,                 1.6875,              0.0015757,              0.0015757,              0.0015757
                     18,                 1.5424,                0.80838,                 1.5888,                0.99803,                0.96512,                0.96541,                0.58153,                 1.3392,                0.83652,                 1.6477,              0.0015474,              0.0015474,              0.0015474
                     19,                 1.4556,                0.75271,                 1.5335,                0.99913,                0.96512,                0.96574,                0.59467,                 1.3346,                0.75485,                 1.7056,              0.0015191,              0.0015191,              0.0015191
                     20,                 1.4457,                0.78521,                 1.4855,                0.99687,                0.96512,                0.96997,                0.56538,                 1.3906,                 0.7894,                 1.7038,              0.0014909,              0.0014909,              0.0014909
                     21,                 1.4664,                0.76017,                 1.5152,                0.99916,                0.96512,                0.96586,                0.57847,                 1.2954,                0.66746,                 1.6092,              0.0014626,              0.0014626,              0.0014626
                     22,                 1.4715,                0.72592,                 1.5118,                0.99912,                0.96512,                0.96542,                0.54635,                 1.3729,                0.74233,                 1.6422,              0.0014343,              0.0014343,              0.0014343
                     23,                 1.4283,                0.67572,                 1.4675,                      1,                0.96505,                0.96903,                0.61478,                 1.3825,                0.66421,                 1.6595,               0.001406,               0.001406,               0.001406
                     24,                 1.5225,                0.73054,                 1.5134,                0.99906,                0.96512,                0.96763,                0.60941,                 1.3206,                0.62339,                 1.5909,              0.0013777,              0.0013777,              0.0013777
                     25,                 1.4149,                0.71437,                 1.4853,                0.99917,                0.96512,                0.96661,                0.53422,                  1.569,                0.64961,                   1.82,              0.0013494,              0.0013494,              0.0013494
                     26,                 1.4679,                0.71078,                 1.5014,                0.99912,                0.96512,                0.97387,                0.60601,                 1.3299,                0.62452,                 1.6647,              0.0013211,              0.0013211,              0.0013211
                     27,                 1.4657,                 0.7279,                 1.5414,                0.99911,                0.96512,                0.97293,                0.59946,                 1.3735,                0.66285,                 1.6452,              0.0012929,              0.0012929,              0.0012929
                     28,                 1.4581,                0.70298,                 1.4953,                0.99808,                0.96512,                0.96882,                0.59604,                 1.3998,                0.62309,                 1.6941,              0.0012646,              0.0012646,              0.0012646
                     29,                 1.3451,                0.65098,                 1.4285,                0.99488,                0.96512,                 0.9691,                0.60955,                 1.3499,                0.61304,                 1.6638,              0.0012363,              0.0012363,              0.0012363
                     30,                 1.4202,                0.63994,                 1.4694,                0.99907,                0.96512,                0.97158,                0.57391,                 1.5183,                0.69119,                 1.8047,               0.001208,               0.001208,               0.001208
                     31,                  1.446,                0.68012,                 1.4989,                0.99911,                0.96512,                0.96859,                 0.6056,                 1.3708,                0.60904,                 1.7046,              0.0011797,              0.0011797,              0.0011797
                     32,                  1.424,                0.65086,                 1.4952,                0.99917,                0.96512,                  0.969,                0.61388,                 1.3608,                0.58423,                 1.6363,              0.0011514,              0.0011514,              0.0011514
                     33,                  1.426,                0.68773,                 1.4873,                0.99881,                0.96512,                0.96793,                0.61396,                 1.3622,                0.62982,                  1.645,              0.0011231,              0.0011231,              0.0011231
                     34,                 1.4614,                 0.7065,                 1.5436,                0.99914,                0.96512,                0.96879,                0.56935,                 1.4101,                0.61132,                 1.6494,              0.0010949,              0.0010949,              0.0010949
                     35,                 1.4275,                0.66417,                 1.4873,                0.99917,                0.96512,                0.96847,                0.61643,                 1.3185,                0.63439,                 1.5942,              0.0010666,              0.0010666,              0.0010666
                     36,                 1.4308,                0.65098,                 1.4929,                0.99809,                0.96512,                0.96761,                0.61317,                 1.2997,                0.59131,                 1.6076,              0.0010383,              0.0010383,              0.0010383
                     37,                 1.4214,                  0.628,                 1.4833,                0.99918,                0.96512,                0.96903,                0.58702,                 1.3518,                0.54275,                 1.6544,                0.00101,                0.00101,                0.00101
                     38,                 1.4649,                0.66883,                 1.4792,                0.99915,                0.96512,                0.97534,                0.64044,                 1.2574,                0.53896,                 1.5879,             0.00098171,             0.00098171,             0.00098171
